id,symbol,name,current_price,market_cap,total_volume,price_change_percentage_24h,price_change_percentage_7d_in_currency,last_updated
kaspa,kas,Kaspa,0.096055,2504823665,61109650.0,-5.63498,-4.1343777166760205,2025-05-03T22:48:11.237Z
crypto-com-chain,cro,Cronos,0.090194,2481398784,19440893.0,-1.96656,-1.8860624907743861,2025-05-03T22:48:11.287Z
mantle,mnt,Mantle,0.732345,2463347853,99765314.0,-0.19467,-1.1730454467745919,2025-05-03T22:48:05.793Z
tokenize-xchange,tkx,Tokenize Xchange,30.45,2445500338,13980937.0,-3.79079,-5.272977512732542,2025-05-03T22:48:07.728Z
render-token,render,Render,4.63,2395446966,154708702.0,-3.50399,3.023274103271283,2025-05-03T22:48:08.245Z
official-trump,trump,Official Trump,11.38,2275110109,906016334.0,-12.06497,-26.301033741005618,2025-05-03T22:48:15.123Z
vechain,vet,VeChain,0.02633186,2264014917,28011405.0,-3.25191,-2.732170486610093,2025-05-03T22:48:10.952Z
usd1-wlfi,usd1,USD1,1.0,2130499438,9180332.0,-0.02831,-0.04244116097607406,2025-05-03T22:48:09.503Z
ethena-staked-usde,susde,Ethena Staked USDe,1.17,2057550313,12567867.0,0.01666,0.02254209275489565,2025-05-03T22:48:10.182Z
polygon-ecosystem-token,pol,POL (ex-MATIC),0.230873,2024138483,47743618.0,-2.96729,-5.879847059710016,2025-05-03T22:48:06.475Z
lombard-staked-btc,lbtc,Lombard Staked BTC,96221.0,1938376714,5963639.0,-0.49022,2.199080830651748,2025-05-03T22:48:08.911Z
cosmos,atom,Cosmos Hub,4.24,1898774432,62679142.0,-2.26382,-8.060109801942023,2025-05-03T22:48:09.883Z
fasttoken,ftn,Fasttoken,4.29,1845603871,54074244.0,-0.16753,0.13548804382340535,2025-05-03T22:48:11.133Z
algorand,algo,Algorand,0.209536,1799671604,43633750.0,-1.904,-8.364665931611503,2025-05-03T22:48:11.241Z
fetch-ai,fet,Artificial Superintelligence Alliance,0.687855,1791362532,87046186.0,-2.92592,-10.464341093305642,2025-05-03T22:48:11.923Z
filecoin,fil,Filecoin,2.66,1765525516,101015219.0,-4.64102,-7.084647526291726,2025-05-03T22:48:10.926Z
sonic-3,s,Sonic (prev. FTM),0.549345,1744528417,82933704.0,-4.90283,2.256969645047539,2025-05-03T22:48:10.942Z
ethena,ena,Ethena,0.294413,1635046433,78346322.0,-3.50522,-18.481387819736327,2025-05-03T22:48:07.301Z
arbitrum,arb,Arbitrum,0.322841,1535823373,104736865.0,-4.0459,-7.785689885986567,2025-05-03T22:48:09.935Z
celestia,tia,Celestia,2.46,1530741375,54073876.0,-3.47363,-14.733272797830713,2025-05-03T22:48:10.930Z
jupiter-perpetuals-liquidity-provider-token,jlp,Jupiter Perpetuals Liquidity Provider Token,4.12,1528537481,21400615.0,-0.07095,0.12576103087434012,2025-05-03T22:48:14.646Z
solv-btc,solvbtc,Solv Protocol SolvBTC,95822.0,1502157418,1989942.0,-0.76528,1.6613766728169257,2025-05-03T22:48:08.620Z
first-digital-usd,fdusd,First Digital USD,1.0,1470809959,1221496882.0,0.15036,0.17592859073220452,2025-05-03T22:48:12.686Z
kucoin-shares,kcs,KuCoin,10.81,1349691729,20223.0,-0.00603,2.5617462380889724,2025-05-03T22:48:12.811Z
bonk,bonk,Bonk,1.695e-05,1311803088,125806745.0,-8.22278,-7.795718222455184,2025-05-03T22:48:15.938Z
maker,mkr,Maker,1536.62,1280979918,45058485.0,-1.41724,1.4824601459236753,2025-05-03T22:48:10.360Z
worldcoin-wld,wld,Worldcoin,0.960905,1270652320,133289473.0,-6.19586,-17.849762468140494,2025-05-03T22:48:03.763Z
jupiter-exchange-solana,jup,Jupiter,0.435982,1263864388,30098429.0,-5.57166,-9.563722861021466,2025-05-03T22:48:09.165Z
nexo,nexo,NEXO,1.25,1252555975,7830427.0,0.02298,8.912040740594932,2025-05-03T22:48:11.762Z
quant-network,qnt,Quant,84.71,1232044585,18918211.0,0.17593,11.346941381993593,2025-05-03T22:48:06.712Z
binance-staked-sol,bnsol,Binance Staked SOL,154.91,1203826790,952653.0,0.07614,-0.49088532717932976,2025-05-03T22:48:15.434Z
flare-networks,flr,Flare,0.01901749,1202203870,17674908.0,6.00492,14.162032371865903,2025-05-03T22:48:11.857Z
blockstack,stx,Stacks,0.775929,1182982580,28321369.0,-5.25555,-8.156410476204726,2025-05-03T22:48:11.914Z
xdce-crowd-sale,xdc,XDC Network,0.073665,1156943325,31710719.0,-4.02757,-1.3293960944624277,2025-05-03T22:48:11.619Z
optimism,op,Optimism,0.683551,1132958141,102714781.0,-3.53688,-18.425476939299404,2025-05-03T22:48:06.479Z
binance-peg-weth,weth,Binance-Peg WETH,1844.78,1115285669,17386136.0,0.46142,1.3243493088088245,2025-05-03T22:48:04.958Z
virtual-protocol,virtual,Virtuals Protocol,1.71,1114245479,245669305.0,-3.24384,57.863565972795485,2025-05-03T22:48:06.891Z
eos,eos,EOS,0.731309,1109195031,108354832.0,1.2855,8.431595197567827,2025-05-03T22:48:11.683Z
fartcoin,fartcoin,Fartcoin,1.1,1101784471,102357302.0,-4.40134,8.200684744676137,2025-05-03T22:48:15.265Z
sei-network,sei,Sei,0.209517,1070123931,60679960.0,-4.39602,2.484181620185664,2025-05-03T22:48:11.661Z
kelp-dao-restaked-eth,rseth,Kelp DAO Restaked ETH,1918.95,1054882786,1572002.0,0.26878,1.5846050353920733,2025-05-03T22:48:10.357Z
immutable-x,imx,Immutable,0.576871,1048384969,47513951.0,-12.04466,-7.391202538393815,2025-05-03T22:48:16.175Z
usdt0,usdt0,USDT0,1.0,1029187149,89470659.0,-0.02149,-0.004188690544800116,2025-05-03T22:48:13.486Z
story-2,ip,Story,3.78,1017923795,28637176.0,-5.85721,-5.696106351896424,2025-05-03T22:48:11.166Z
curve-dao-token,crv,Curve DAO,0.715479,957534668,85771772.0,-2.35716,7.454902009580615,2025-05-03T22:48:13.289Z
injective-protocol,inj,Injective,9.73,951343167,70881404.0,-4.96943,-5.190554211653462,2025-05-03T22:48:13.685Z
paypal-usd,pyusd,PayPal USD,0.999344,941595138,13801244.0,-0.0168,-0.05970526448177536,2025-05-03T22:48:08.020Z
the-graph,grt,The Graph,0.094236,899415216,26202453.0,-4.06778,-7.7256146019661935,2025-05-03T22:48:12.657Z
binance-bridged-usdc-bnb-smart-chain,usdc,Binance Bridged USDC (BNB Smart Chain),0.999945,899001307,31488777.0,-0.00011,0.013628172743115856,2025-05-03T22:48:09.941Z
wbnb,wbnb,Wrapped BNB,599.76,874387371,238801197.0,-0.2507,-1.4336544327923058,2025-05-03T22:48:12.516Z
rocket-pool-eth,reth,Rocket Pool ETH,2088.49,861925516,8982973.0,0.22864,1.9400603277962831,2025-05-03T22:48:15.363Z
