id,symbol,name,current_price,market_cap,total_volume,price_change_percentage_24h,price_change_percentage_7d_in_currency,last_updated,is_volatile_24h
kaspa,kas,Kaspa,0.1,2504823665,61109650.0,-5.63,-4.13,2025-05-03 22:48:11.237000+00:00,False
crypto-com-chain,cro,Cronos,0.09,2481398784,19440893.0,-1.97,-1.89,2025-05-03 22:48:11.287000+00:00,False
mantle,mnt,Mantle,0.73,2463347853,99765314.0,-0.19,-1.17,2025-05-03 22:48:05.793000+00:00,False
tokenize-xchange,tkx,Tokenize Xchange,30.45,2445500338,13980937.0,-3.79,-5.27,2025-05-03 22:48:07.728000+00:00,False
render-token,render,Render,4.63,2395446966,154708702.0,-3.5,3.02,2025-05-03 22:48:08.245000+00:00,False
official-trump,trump,Official Trump,11.38,2275110109,906016334.0,-12.06,-26.3,2025-05-03 22:48:15.123000+00:00,True
vechain,vet,VeChain,0.03,2264014917,28011405.0,-3.25,-2.73,2025-05-03 22:48:10.952000+00:00,False
usd1-wlfi,usd1,USD1,1.0,2130499438,9180332.0,-0.03,-0.04,2025-05-03 22:48:09.503000+00:00,False
ethena-staked-usde,susde,Ethena Staked USDe,1.17,2057550313,12567867.0,0.02,0.02,2025-05-03 22:48:10.182000+00:00,False
polygon-ecosystem-token,pol,POL (ex-MATIC),0.23,2024138483,47743618.0,-2.97,-5.88,2025-05-03 22:48:06.475000+00:00,False
lombard-staked-btc,lbtc,Lombard Staked BTC,96221.0,1938376714,5963639.0,-0.49,2.2,2025-05-03 22:48:08.911000+00:00,False
cosmos,atom,Cosmos Hub,4.24,1898774432,62679142.0,-2.26,-8.06,2025-05-03 22:48:09.883000+00:00,False
fasttoken,ftn,Fasttoken,4.29,1845603871,54074244.0,-0.17,0.14,2025-05-03 22:48:11.133000+00:00,False
algorand,algo,Algorand,0.21,1799671604,43633750.0,-1.9,-8.36,2025-05-03 22:48:11.241000+00:00,False
fetch-ai,fet,Artificial Superintelligence Alliance,0.69,1791362532,87046186.0,-2.93,-10.46,2025-05-03 22:48:11.923000+00:00,False
filecoin,fil,Filecoin,2.66,1765525516,101015219.0,-4.64,-7.08,2025-05-03 22:48:10.926000+00:00,False
sonic-3,s,Sonic (prev. FTM),0.55,1744528417,82933704.0,-4.9,2.26,2025-05-03 22:48:10.942000+00:00,False
ethena,ena,Ethena,0.29,1635046433,78346322.0,-3.51,-18.48,2025-05-03 22:48:07.301000+00:00,False
arbitrum,arb,Arbitrum,0.32,1535823373,104736865.0,-4.05,-7.79,2025-05-03 22:48:09.935000+00:00,False
celestia,tia,Celestia,2.46,1530741375,54073876.0,-3.47,-14.73,2025-05-03 22:48:10.930000+00:00,False
jupiter-perpetuals-liquidity-provider-token,jlp,Jupiter Perpetuals Liquidity Provider Token,4.12,1528537481,21400615.0,-0.07,0.13,2025-05-03 22:48:14.646000+00:00,False
solv-btc,solvbtc,Solv Protocol SolvBTC,95822.0,1502157418,1989942.0,-0.77,1.66,2025-05-03 22:48:08.620000+00:00,False
first-digital-usd,fdusd,First Digital USD,1.0,1470809959,1221496882.0,0.15,0.18,2025-05-03 22:48:12.686000+00:00,False
kucoin-shares,kcs,KuCoin,10.81,1349691729,20223.0,-0.01,2.56,2025-05-03 22:48:12.811000+00:00,False
bonk,bonk,Bonk,0.0,1311803088,125806745.0,-8.22,-7.8,2025-05-03 22:48:15.938000+00:00,False
maker,mkr,Maker,1536.62,1280979918,45058485.0,-1.42,1.48,2025-05-03 22:48:10.360000+00:00,False
